Nombre,X,Y,Ángulo,Valor,Paquete
C1,27.94,13.34,180.00,22p,C0603-ROUND
C10,12.07,43.82,180.00,1u,C0603-ROUND
C11,21.59,25.40,0.00,100n,C0603
C12,21.59,17.78,180.00,100n,C0603-ROUND
C13,27.94,21.59,0.00,100n,C0603-ROUND
C14,40.01,11.43,90.00,22p,C0603-ROUND
C15,40.01,17.78,270.00,22p,C0603-ROUND
C16,15.24,27.30,180.00,22p,C0603-ROUND
C17,21.59,27.30,0.00,22p,C0603-ROUND
C2,15.24,17.78,0.00,100n,C0603-ROUND
C3,27.94,44.45,0.00,100n,C0603-ROUND
C4,38.61,7.11,0.00,100n,C0603-ROUND
C5,58.93,39.37,0.00,100n,C0603-ROUND
C6,40.05,30.42,180.00,100n,C0603-ROUND
C7,27.94,17.78,0.00,100n,C0603-ROUND
C8,15.24,25.40,0.00,100n,C0603
C9,21.59,33.66,0.00,100n,C0603-ROUND
D1,18.41,12.07,180.00,M7,SMB
F1,4.45,25.40,180.00,500mA,L1812
IC1,8.64,17.78,90.00,MC33269ST-5.0T3,SOT223
IC2,8.13,17.78,90.00,MC33269D-5.0,DPACK
IC3,50.80,28.35,0.00,ATMEGA2560-16AU,TQFP100
IC4,18.29,38.10,90.00,ATMEGA8U2-MU,QFN32
IC5,18.29,21.59,270.00,LM358D,SO08
IC6,27.94,25.17,180.00,LP2985-33DBVR,SOT23-DBV
L,27.94,41.91,90.00,YELLOW,CHIP-LED0805
L1,8.26,45.21,180.00,BLM21,0805
ON,76.20,36.83,90.00,GREEN,CHIP-LED0805
PC1,20.32,5.71,90.00,47u,PANASONIC_D
PC2,27.94,5.71,90.00,47u,PANASONIC_D
R1,40.01,14.61,90.00,1M,R0603-ROUND
R2,18.41,27.30,0.00,1M,R0603-ROUND
R3,41.91,14.61,270.00,27R,R0603-ROUND
R4,15.24,33.66,180.00,27R,R0603-ROUND
RESET,74.17,27.94,90.00,TS42,TS42
RESET-EN,27.94,15.24,0.00,,SJ
RN1,80.65,36.83,270.00,10K,CAT16
RN2,12.07,38.10,90.00,22R,CAY16
RN3,27.94,39.37,270.00,1k,CAY16
RN4,27.94,31.12,90.00,1k,CAY16
RN5,18.41,16.51,90.00,10K,CAT16
RX,27.94,34.29,90.00,YELLOW,CHIP-LED0805
T2,9.53,25.37,270.00,FDN340P,SOT-23
TX,27.94,36.83,90.00,YELLOW,CHIP-LED0805
U$2,70.84,38.19,0.00,FIDUCIALMOUNT,FIDUCIA-MOUNT
U$3,2.67,2.41,0.00,FIDUCIALMOUNT,FIDUCIA-MOUNT
U$4,19.81,50.80,0.00,FIDUCIALMOUNT,FIDUCIA-MOUNT
U$5,50.80,28.35,0.00,FIDUCIALMOUNT,FIDUCIA-MOUNT
Y1,36.83,14.61,270.00,16MHz,RESONATOR
Y2,18.29,30.48,180.00,16MHz,RESONATOR
Z1,12.07,35.56,0.00,PGB1010604,CT/CN0603
Z2,12.07,40.64,0.00,PGB1010604,CT/CN0603
